parent2_code,parent2_name_EN
K08,Other disorders of teeth and supporting structures
K09,Other disorders of jaw
K10,Other diseases of jaws
K11,Diseases of salivary glands
K12,Stomatitis and related lesions
K13,Other diseases of lip and oral mucosa
K14,Diseases of tongue
K20,Esophagitis
K21,Gastro-esophageal reflux disease
K22,Other diseases of esophagus
K23,Disorders of oesophagus in diseases classified elsewhere
K25,Gastric ulcer
K26,Duodenal ulcer
K27,"Peptic ulcer, site unspecified"
K28,Gastrojejunal ulcer
K29,Gastritis and duodenitis
K30,Functional dyspepsia
K31,Other diseases of stomach and duodenum
K35,Acute appendicitis
K36,Other specified disorders of appendix
K37,Unspecified appendicitis
K38,Other disorders of appendix
K40,Inguinal hernia
K41,Femoral hernia
K42,Umbilical hernia
K43,Ventral hernia
K44,Diaphragmatic hernia
K45,Other abdominal hernia
K46,Unspecified abdominal hernia
K50,Crohn disease [regional enteritis]
K51,Ulcerative colitis
K52,Other and unspecified noninfective gastroenteritis and colitis
K55,Vascular disorders of intestine
K56,Paralytic ileus and intestinal obstruction without hernia
K57,Diverticular disease of intestine
K58,Irritable bowel syndrome
K59,Other functional intestinal disorders
K60,Fissure and fistula of anal and rectal regions
K61,Abscess of anal and rectal regions
K62,Other diseases of anus and rectum
K63,Other diseases of intestine
K65,Peritonitis
K66,Other disorders of peritoneum
K67,Disorders of peritoneum in infectious diseases classified elsewhere
K70,Alcoholic liver disease
K71,Toxic liver disease
K72,"Hepatic failure, not elsewhere classified"
K73,"Chronic hepatitis, not elsewhere classified"
K74,Fibrosis and cirrhosis of liver
K75,Other inflammatory liver diseases
K76,Other diseases of liver
K77,Disorders of liver and gallbladder in diseases classified elsewhere
K80,Cholelithiasis
K81,Cholecystitis
K82,Other diseases of gallbladder
K83,Other diseases of biliary tract
K85,Acute pancreatitis
K86,Other diseases of pancreas
K87,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere"
K90,Intestinal malabsorption
K91,"Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified"
K92,Other diseases of digestive system
K93,Disorders of other digestive organs in diseases classified elsewhere
L00,Staphylococcal scalded skin syndrome
L01,Impetigo
L02,"Cutaneous abscess, furuncle and carbuncle"
L03,Cellulitis and acute lymphangitis
L04,Acute lymphadenitis
L05,Pilonidal cyst and sinus
L08,Other local infections of skin and subcutaneous tissue
L10,Pemphigus
L11,Other disorders of skin and appendages
L12,Pemphigoid
L13,Other bullous disorders
L14,Bullous disorders in diseases classified elsewhere
L20,Atopic dermatitis
L21,Seborrheic dermatitis
L22,Diaper (napkin) dermatitis
L23,Allergic contact dermatitis
L24,Irritant contact dermatitis
L25,Unspecified contact dermatitis
L26,Exfoliative dermatitis
L27,Dermatitis due to substances taken internally
L28,Lichen simplex chronicus and prurigo
L29,Pruritus
L30,Other and unspecified dermatitis
L40,Psoriasis
L41,Parapsoriasis
L42,Pityriasis rosea
L43,Lichen planus
L44,Other papulosquamous disorders
L45,Other papulosquamous disorders in diseases classified elsewhere
L50,Urticaria
L51,Erythema multiforme
L52,Erythema nodosum
L53,Other erythematous conditions
L54,Erythema in diseases classified elsewhere
L55,Sunburn
L56,Other acute skin changes due to ultraviolet radiation
L57,Skin changes due to chronic exposure to ultraviolet radiation
L58,Other specified disorders of skin and subcutaneous tissue related to radiation
L59,Other disorders of skin and subcutaneous tissue related to radiation
L60,Nail disorders
L62,Disorders of hair in diseases classified elsewhere
L63,Alopecia areata
L64,Androgenic alopecia
L65,Other nonscarring hair loss
L66,Alopecia areata
L67,Other disorders of hair and hair follicle
L68,Hypertrichosis
L70,Acne
L71,Rosacea
L72,Follicular cysts of skin and subcutaneous tissue
L73,Other follicular disorders
L74,Sweat gland disorders
L75,Apocrine sweat gland disorders
L80,Vitiligo
L81,Other disorders of pigmentation
L82,Seborrheic keratosis
L83,Acanthosis nigricans
L84,Corns and callosities
L85,Other epidermal thickening
L86,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
L87,Disorders of transepidermal elimination
L88,Pyoderma gangrenosum
L89,Pressure ulcer
L90,Atrophic disorders of skin
L91,Hypertrophic disorders of skin
L92,Granulomatous disorders of skin and subcutaneous tissue
L93,Lupus erythematosus
L94,Other localized connective tissue disorders
L95,"Vasculitis limited to skin, not elsewhere classified"
L97,"Non-pressure chronic ulcer of lower limb, not elsewhere classified"
L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified"
L99,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
M00,Pyogenic arthritis
M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere
M02,Postinfective and reactive arthropathies
M03,Postinfective and reactive arthropathies in diseases classified elsewhere
M05,Rheumatoid arthritis with rheumatoid factor
M06,Other rheumatoid arthritis
M07,Enteropathic arthropathies
M08,Juvenile arthritis
M09,Juvenile arthritis in diseases classified elsewhere
M10,Gout
M11,Other crystal arthropathies
M12,Other and unspecified arthropathy
M13,Other arthritis
M14,Arthropathies in other diseases classified elsewhere
M15,Polyosteoarthritis
M16,Osteoarthritis of hip
M17,Osteoarthritis of knee
M18,Osteoarthritis of first carpometacarpal joint
M19,Other and unspecified osteoarthritis
M20,Acquired deformities of fingers and toes
M21,Other acquired deformities of limbs
M22,Disorder of patella
M23,Internal derangement of knee
M24,Other specific joint derangements
M25,"Other joint disorder, not elsewhere classified"
M30,Polyarteritis nodosa and related conditions
M31,Other necrotizing vasculopathies
M32,Systemic lupus erythematosus
M33,Dermatomyositis and polymyositis
M34,Systemic sclerosis
M35,Other systemic involvement of connective tissue
M36,Systemic disorders of connective tissue in diseases classified elsewhere
M40,Kyphosis and lordosis
M41,Scoliosis
M42,Spinal osteochondrosis
M43,Other deforming dorsopathies
M45,Ankylosing spondylitis
M46,Other inflammatory spondylopathies
M47,Spondylosis
M48,Other spondylopathies
M49,Spondylopathies in diseases classified elsewhere
M50,Cervical disc disorders
M51,"Thoracic, thoracolumbar, and lumbosacral intervertebral disc disorders"
M53,"Other and unspecified dorsopathies, not elsewhere classified"
M54,Dorsalgia
M60,Myositis
M61,Calcification and ossification of muscle
M62,Other disorders of muscle
M63,Disorders of synovium and tendon in diseases classified elsewhere
M65,Synovitis and tenosynovitis
M66,Spontaneous rupture of synovium and tendon
M67,Other disorders of synovium and tendon
M68,"Disorders of muscle, ligament and fascia in diseases classified elsewhere"
M70,"Soft tissue disorders related to use, overuse and pressure"
M71,Other bursopathies
M72,Fibroblastic disorders
M73,Soft tissue disorders in diseases classified elsewhere
M75,Shoulder lesions
M76,"Enthesopathies of lower limb, excluding foot"
M77,Other enthesopathies
M79,"Other and unspecified soft tissue disorders, not elsewhere classified"
M80,Osteoporosis with current pathological fracture
M81,Osteoporosis without current pathological fracture
M82,Osteoporosis in diseases classified elsewhere
M83,Osteomalacia in adults
M84,Disorder of continuity of bone
M85,Other disorders of bone density and structure
M86,Osteomyelitis
M87,Osteonecrosis
M88,Paget's disease of bone [osteitis deformans]
M89,Other disorders of bone
M90,Osteopathies in diseases classified elsewhere
M91,Juvenile osteochondrosis of hip and pelvis
M92,Juvenile osteochondrosis
M93,Other osteochondropathies
M94,Other disorders of cartilage
M95,Other acquired deformities of musculoskeletal system and connective tissue
M96,"Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified"
M99,"Biomechanical lesions, not elsewhere classified"
N00,Acute nephritic syndrome
N01,Rapidly progressive nephritic syndrome
N02,Recurrent and persistent haematuria
N03,Chronic nephritic syndrome
N04,Nephrotic syndrome
N05,Unspecified nephritic syndrome
N06,Isolated proteinuria with specified morphological lesion
N07,"Hereditary nephropathy, not elsewhere classified"
N08,Glomerular disorders in diseases classified elsewhere
N10,Acute pyelonephritis
N11,Chronic tubulo-interstitial nephritis
N12,"Tubulo-interstitial nephritis, not specified as acute or chronic"
N13,Obstructive and reflux uropathy
N14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions
N15,Other tubulo-interstitial diseases
N16,Renal tubulo-interstitial disorders in diseases classified elsewhere
N17,Acute kidney failure
N18,Chronic kidney disease
N19,Unspecified kidney failure
N20,Calculus of kidney and ureter
N21,Calculus of lower urinary tract
N22,Calculus of urinary tract in diseases classified elsewhere
N23,Unspecified renal colic
N25,Disorders of renal tubule function
N26,Unspecified contracted kidney
N27,Small kidney of unknown cause
N28,"Other disorders of kidney and ureter, not elsewhere classified"
N29,Other disorders of kidney and ureter in diseases classified elsewhere
N30,Cystitis
N31,"Neuromuscular dysfunction of bladder, not elsewhere classified"
N32,Other disorders of bladder
N33,Bladder disorders in diseases classified elsewhere
N34,Urethritis and urethral syndrome
N35,Urethral stricture
N36,Other disorders of urethra
N37,Urethral disorders in diseases classified elsewhere
N39,Other disorders of urinary system
N40,Benign prostatic hyperplasia
N41,Inflammatory diseases of prostate
N42,Other and unspecified disorders of prostate
N43,Hydrocele and spermatocele
N44,Hydrocele and spermatocele
N45,Orchitis and epididymitis
N46,Male infertility
N47,Disorders of prepuce
N48,Other disorders of penis
N49,"Inflammatory disorders of male genital organs, not elsewhere classified"
N50,Other and unspecified disorders of male genital organs
N51,Disorders of male genital organs in diseases classified elsewhere
N60,Benign mammary dysplasia
N61,Inflammatory disorders of breast
N62,Hypertrophy of breast
N63,Unspecified lump in breast
N64,Other disorders of breast
N70,Salpingitis and oophoritis
N71,"Inflammatory disease of uterus, except cervix"
N72,Inflammatory disease of cervix uteri
N73,Other female pelvic inflammatory diseases
N74,Female pelvic inflammatory disorders in diseases classified elsewhere
N75,Diseases of Bartholin gland
N76,Other inflammation of vagina and vulva
N77,Vulvovaginal ulceration and inflammation in diseases classified elsewhere
N80,Endometriosis
N81,Female genital prolapse
N82,Fistulae involving female genital tract
N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
N84,Polyp of female genital tract
N85,"Other noninflammatory disorders of uterus, except cervix"
N86,Erosion and ectropion of cervix uteri
N87,Dysplasia of cervix uteri
N88,Other noninflammatory disorders of cervix uteri
N89,Other noninflammatory disorders of vagina
N90,Other noninflammatory disorders of vulva and perineum
N91,"Absent, scanty and rare menstruation"
N92,"Excessive, frequent and irregular menstruation"
N93,Other abnormal uterine and vaginal bleeding
N94,Pain and other conditions associated with female genital organs and menstrual cycle
N95,Menopausal and other perimenopausal disorders
N96,Recurrent pregnancy loss
N97,Female infertility
N98,Complications associated with artificial fertilization
N99,"Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified"
O00,Ectopic pregnancy
O01,Hydatidiform mole
O02,Other abnormal products of conception
O03,Spontaneous abortion
O04,Complications following ectopic and molar pregnancy
O05,"Spontaneous abortion, incomplete, without complication"
O06,"Spontaneous abortion, complete or unspecified"
O07,Failed attempted termination of pregnancy
O08,Complications following ectopic and molar pregnancy
O10,Pre-existing hypertension complicating pregnancy childbirth and the puerperium
O11,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
O12,Gestational [pregnancy-induced] edema and proteinuria without hypertension
O13,Gestational [pregnancy-induced] hypertension without significant proteinuria
O14,Pre-eclampsia
O15,Eclampsia
O16,Unspecified maternal hypertension
O20,Hemorrhage in early pregnancy
O21,Excessive vomiting in pregnancy
O22,Venous complications and hemorrhoids in pregnancy
O23,Infections of genitourinary tract in pregnancy
O24,"Diabetes mellitus in pregnancy, childbirth, and the puerperium"
O25,"Maternal anaemia complicating pregnancy, childbirth and the puerperium"
O26,Maternal care for other conditions predominantly related to pregnancy
O28,Abnormal findings on antenatal screening of mother
O29,Complications of anaesthesia in pregnancy
O30,Multiple gestation
O31,Complications specific to multiple gestation
O32,Maternal care for malpresentation of fetus
O33,Maternal care for disproportion
O34,Maternal care for abnormality of pelvic organs
O35,Maternal care for known or suspected fetal abnormality and damage
O36,Maternal care for other fetal problems
O40,Polyhydramnios
O41,Other disorders of amniotic fluid and membranes
O42,Premature rupture of membranes
O43,Placental disorders
O44,Placenta previa
O45,Premature separation of placenta [abruptio placentae]
O46,"Antepartum haemorrhage, not elsewhere classified"
O47,False labor
O48,Late pregnancy
O60,Preterm labor
O61,Failed induction of labour
O62,Abnormalities of forces of labor
O63,Long labour
O64,Obstructed labor due to malposition and malpresentation of fetus
O65,Obstructed labor due to maternal pelvic abnormality
O66,Other obstructed labor
O67,"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified"
O68,Labor and delivery complicated by abnormality of fetal heart rate or rhythm
O69,Labor and delivery complicated by umbilical cord complications
O70,Perineal laceration during delivery
O71,Other obstetric trauma
O72,Postpartum hemorrhage
O73,"Retained placenta and membranes, without hemorrhage"
O74,Complications of anaesthesia in labour and delivery
O75,"Other complications of labor and delivery, not elsewhere classified"
O80,Encounter for full-term uncomplicated delivery
O81,Encounter for cesarean delivery without indication
O82,Encounter for cesarean delivery
O83,Other assisted single delivery
O84,Multiple delivery
O85,Puerperal sepsis
O86,Other puerperal infections
O87,Venous complications and hemorrhoids in the puerperium
O88,"Embolism complicating pregnancy, childbirth and the puerperium"
O89,Complications of anaesthesia in the puerperium
O90,"Complications of the puerperium, not elsewhere classified"
O91,Infections of breast associated with pregnancy the puerperium and lactation
O92,Other disorders of breast and disorders of lactation associated with pregnancy and the puerperium
O98,Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy childbirth and the puerperium
O99,Other maternal diseases classifiable elsewhere but complicating pregnancy childbirth and the puerperium
P14,Birth trauma to central nervous system
P35,Congenital viral diseases
P39,Other perinatal infections
P92,Feeding problems in newborn
Q00,Anencephaly and related malformations
Q01,Encephalocele
Q02,Microcephaly
Q03,Congenital hydrocephalus
Q04,Other congenital malformations of brain
Q05,Spina bifida
Q06,Other congenital malformations of spinal cord
Q07,Other congenital malformations of nervous system
Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit"
Q11,"Anophthalmos, microphthalmos and macrophthalmos"
Q12,Congenital malformations of lens
Q13,Congenital malformations of anterior segment of eye
Q14,Congenital malformations of posterior segment of eye
Q15,Other congenital malformations of eye
Q16,Congenital malformations of ear causing impairment of hearing
Q17,Other congenital malformations of ear
Q18,Other congenital malformations of face and neck
Q20,Congenital malformations of cardiac chambers and connections
Q21,Congenital malformations of cardiac septa
Q22,Congenital malformations of pulmonary and tricuspid valves
Q23,Congenital malformations of aortic and mitral valves
Q24,Other congenital malformations of heart
Q25,Congenital malformations of great arteries
Q26,Other congenital malformations of great veins
Q27,Other congenital malformations of peripheral vascular system
Q28,Other congenital malformations of circulatory system
Q30,Congenital malformations of nose
Q31,Congenital malformations of larynx
Q32,Congenital malformations of trachea and bronchus
Q33,Congenital malformations of lung
Q34,Other congenital malformations of respiratory system
Q35,Cleft palate alone
Q36,Cleft lip alone
Q37,Cleft palate with cleft lip
Q38,"Other congenital malformations of tongue, mouth and pharynx"
Q39,Other congenital malformations of upper digestive tract
Q40,Other congenital malformations of lower digestive tract
Q42,"Congenital absence, atresia and stenosis of large intestine"
Q43,Other congenital malformations of digestive system
Q44,"Congenital malformations of gallbladder, bile ducts and liver"
Q45,Other congenital malformations of digestive system
Q50,"Congenital malformations of ovary, fallopian tube and broad ligament"
Q51,Congenital malformations of uterus and cervix
Q52,Other congenital malformations of female genitalia
Q53,Undescended testicle
Q54,Hypospadias and epispadias
Q55,Other congenital malformations of male genital organs
Q60,Renal agenesis and other reduction defects of kidney
Q61,Cystic kidney disease
Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
Q63,Other congenital malformations of kidney
Q64,Other congenital malformations of urinary system
Q65,Congenital deformities of hip
Q66,Congenital deformities of feet
Q67,"Congenital musculoskeletal deformities of head, face, vertebral column and chest"
Q68,Other congenital musculoskeletal deformities
Q69,Polydactyly
Q70,Syndactyly
Q71,Reduction defects of upper limb
Q72,Reduction defects of lower limb
Q73,Reduction defects of unspecified limb
Q74,Other congenital malformations of limb(s)
Q75,Other congenital malformations of skull and face bones
Q76,"Congenital malformations of spine and bony thorax, not elsewhere classified"
Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine
Q78,Other osteochondrodysplasias
Q79,Other congenital malformations of musculoskeletal system
Q80,Ichthyosis
Q81,Epidermolysis bullosa
Q82,Other congenital malformations of skin
Q83,"Congenital malformations of ovary, fallopian tube and broad ligament"
Q84,Other congenital malformations of skin and its appendages
Q85,"Phacomatoses, not elsewhere classified"
Q86,Other congenital malformation syndromes due to known exogenous causes
Q87,Other specified congenital malformation syndromes affecting multiple systems
Q89,"Other congenital malformations, not elsewhere classified"
Q90,Down syndrome
Q91,Trisomy 18 and Trisomy 13
Q92,"Other trisomies and partial trisomies of autosomes, not elsewhere classified"
Q93,"Monosomies and deletions from autosomal chromosomes, not elsewhere classified"
Q95,"Balanced chromosomal rearrangement and structural markers, not elsewhere classified"
Q96,Turner syndrome
Q97,"Other specified sex chromosome abnormalities, female phenotype, not elsewhere classified"
Q98,Other specified chromosome abnormalities
Q99,"Other chromosome abnormalities, not elsewhere classified"
R00,Abnormalities of heart beat
R01,Cardiac murmurs and other cardiac sounds
R02,"Gangrene, not elsewhere classified"
R03,"Abnormal blood-pressure reading, without diagnosis"
R04,Hemorrhage from respiratory passages
R05,Cough
R06,Abnormalities of breathing
R07,Pain in throat and chest
R09,Other symptoms and signs involving the circulatory and respiratory systems
R10,Abdominal and pelvic pain
R11,Nausea and vomiting
R12,Heartburn
R13,Aphagia and dysphagia
R14,Flatulence and related conditions
R15,Fecal incontinence
R16,"Hepatomegaly and splenomegaly, not elsewhere classified"
R17,Unspecified jaundice
R18,Ascites
R19,Other symptoms and signs involving the digestive system and abdomen
R20,Disturbances of skin sensation
R21,Rash and other nonspecific skin eruption
R22,Localized swelling mass and lump of skin and subcutaneous tissue
R23,Other skin changes
R25,Abnormal involuntary movements
R26,Abnormalities of gait and mobility
R27,Other lack of coordination
R29,Other symptoms and signs involving the nervous and musculoskeletal systems
R30,Pain associated with micturition
R31,Hematuria
R32,Unspecified urinary incontinence
R33,Retention of urine
R34,Anuria and oliguria
R35,Polyuria
R36,Urethral discharge
R39,Other and unspecified symptoms and signs involving the genitourinary system
R40,"Somnolence, stupor and coma"
R41,Other symptoms and signs involving cognitive functions and awareness
R42,Dizziness and giddiness
R43,Disturbances of smell and taste
R44,Other symptoms and signs involving the general feeling and emotional state
R45,Symptoms and signs involving emotional state
R46,Symptoms and signs involving appearance and behaviour
R47,"Speech disturbances, not elsewhere classified"
R48,"Dysphasia and aphasia, not elsewhere classified"
R49,Voice and resonance disorders
R50,"Fever, unspecified"
R51,Headache
R52,"Pain, unspecified"
R53,Malaise and fatigue
R54,Senility
R55,Syncope and collapse
R56,"Convulsions, not elsewhere classified"
R57,"Shock, not elsewhere classified"
R58,"Haemorrhage, not elsewhere classified"
R59,Enlarged lymph nodes
R60,"Edema, not elsewhere classified"
R61,Generalized hyperhidrosis
R62,Lack of expected normal physiological development
R63,Symptoms and signs concerning food and fluid intake
R64,Cachexia
R68,Other general symptoms and signs
R69,Unknown and unspecified causes of morbidity
R70,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity
R71,Abnormality of red blood cells
R72,"Abnormality of white blood cells, not elsewhere classified"
R73,Elevated blood glucose level
R74,Abnormal serum enzyme levels
R75,Laboratory evidence of human immunodeficiency virus [HIV]
R76,Abnormal immunological findings in serum
R77,Other abnormalities of plasma proteins
R78,"Findings of drugs and other substances, not normally found in blood"
R79,Other abnormal findings of blood chemistry
R80,Proteinuria
R81,Glycosuria
R82,Other abnormal findings in urine
R83,Abnormal findings on examination of cerebrospinal fluid
R85,Abnormal findings on examination of specimens from other organs and tissues
R86,Abnormal findings on examination of specimens from male genital organs
R87,Abnormal findings in female genital organs
R89,Abnormal findings on examination of specimens from other organs and tissues
R91,Abnormal findings on diagnostic imaging of lung
R93,Abnormal findings on diagnostic imaging of other body structures
R94,Abnormal results of function studies
R96,"Other sudden death, cause unknown"
R98,Unattended death
R99,Other ill-defined and unspecified causes of mortality
S00,Superficial injury of head
S01,Open wound of head
S02,Fracture of skull and facial bones
S03,"Dislocation, sprain and strain of joints and ligaments of head"
S05,Injury of eye and orbit
S06,Intracranial injury
S09,Other and unspecified injuries of head
S10,Superficial injury of neck
S11,Open wound of neck
S12,Fracture of neck
S13,Dislocation and sprain of joints and ligaments at neck level
S14,Injury of nerves and spinal cord at neck level
S19,Other and unspecified injuries of neck
S20,Superficial injury of thorax
S21,Open wound of thorax
S22,Fracture of rib(s) sternum and thoracic spine
S23,"Dislocation, sprain and strain of joints and ligaments of thorax"
S27,Injury of other and unspecified intrathoracic organs
S29,Other and unspecified injuries of thorax
S30,Superficial injury of abdomen lower back lumbar spine and pelvis
S31,"Open wound of abdomen, lower back and pelvis"
S32,Fracture of lumbar spine and pelvis
S33,Dislocation and sprain of joints and ligaments of lumbar spine and pelvis
S34,Injury of nerves and lumbar and sacral spinal cord
S36,Injury of intra-abdominal organs
S37,Injury of urinary and pelvic organs
S39,"Other and unspecified injuries of abdomen, lower back and pelvis"
S40,Superficial injury of shoulder and upper arm
S41,Open wound of shoulder and upper arm
S42,Fracture of shoulder and upper arm
S43,Dislocation and sprain of joints and ligaments of shoulder girdle
S44,Injury of nerves at shoulder and upper arm level
S46,Injury of muscle fascia and tendon at shoulder and upper arm level
S49,Other and unspecified injuries of shoulder and upper arm
S50,Superficial injury of elbow and forearm
S51,Open wound of elbow and forearm
S52,Fracture of forearm
S53,Dislocation and sprain of joints and ligaments of elbow
S54,Injury of nerves at forearm level
S56,Injury of muscle and tendon at forearm level
S59,Other and unspecified injuries of forearm
S60,Superficial injury of wrist hand and fingers
S61,Open wound of wrist hand and fingers
S62,Fracture at wrist and hand level
S63,Dislocation and sprain of joints and ligaments at wrist and hand level
S64,Injury of nerves at wrist and hand level
S66,Injury of muscle fascia and tendon at wrist and hand level
S67,Crushing injury of wrist and hand
S68,Traumatic amputation of wrist hand and fingers
S69,Other and unspecified injuries of wrist and hand
S70,Superficial injury of hip and thigh
S71,Open wound of hip and thigh
S72,Fracture of femur
S73,"Dislocation, sprain and strain of joints and ligaments of hip"
S76,Injury of muscle fascia and tendon at hip and thigh level
S79,Other and unspecified injuries of hip and thigh
S80,Superficial injury of knee and lower leg
S81,Open wound of knee and lower leg
S82,Fracture of lower leg including ankle
S83,Dislocation and sprain of joints and ligaments of knee
S86,Injury of muscle fascia and tendon at lower leg level
S89,Other and unspecified injuries of lower leg
S90,Superficial injury of ankle foot and toes
S91,Open wound of ankle foot and toes
S92,Fracture of foot and toe except ankle
S93,Dislocation and sprain of joints and ligaments at ankle foot and toe level
S96,Injury of muscle and tendon at ankle and foot level
S99,Other and unspecified injuries of ankle and foot
T00,Superficial injuries involving multiple body regions
T01,Open wounds involving multiple body regions
T02,Fractures involving multiple body regions
T06,"Injuries involving multiple body regions, unspecified"
T11,"Injury of unspecified part of trunk, limb or body region"
T13,"Injury of lower limb, unspecified"
T14,Injury of unspecified body region
T15,Foreign body on external eye
T16,Foreign body in ear
T17,Foreign body in respiratory tract
T18,Foreign body in alimentary tract
T19,Foreign body in respiratory tract
T20,Burn and corrosion of head and neck
T21,Burn and corrosion of trunk
T22,Burn and corrosion of elbow and forearm
T23,Burn and corrosion of wrist and hand
T24,Burn and corrosion of hip and lower limb except ankle and foot
T25,Burn and corrosion of ankle and foot
T26,Burn and corrosion confined to eye and adnexa
T29,Burns and corrosions of multiple and unspecified body regions
T31,Burns classifying extent of body surface involved
T33,Superficial frostbite
T34,Deep frostbite
T39,"Poisoning by, adverse effect of and underdosing of nonopioid analgesics, antipyretics and antirheumatics"
T40,"Poisoning by, adverse effect of and underdosing of narcotics and psychodysleptics [hallucinogens]"
T42,"Poisoning by, adverse effect of and underdosing of antiepileptic, sedative-hypnotic and anti-parkinsonism drugs"
T43,"Poisoning by, adverse effect of and underdosing of psychotropic drugs, not elsewhere classified"
T45,"Poisoning by, adverse effect of and underdosing of agents primarily systemic and haematological"
T46,"Poisoning by, adverse effect of and underdosing of agents primarily affecting the cardiovascular system"
T51,Toxic effect of alcohol
T58,Toxic effect of carbon monoxide
T63,Toxic effect of contact with venomous animals
T65,Toxic effect of other and unspecified substances
T67,Effects of heat and light
T68,Hypothermia
T73,Effects of deprivation
T74,Maltreatment syndromes
T75,Effects of other external causes
T78,"Adverse effects, not elsewhere classified"
T79,"Certain early complications of trauma, not elsewhere classified"
T80,"Complications following infusion, transfusion and therapeutic injection"
T81,"Complications of procedures, not elsewhere classified"
T82,"Complications of cardiac and vascular prosthetic devices, implants and grafts"
T83,"Complications of genitourinary prosthetic devices, implants and grafts"
T84,Complications of internal orthopedic prosthetic devices implants and grafts
T85,"Complications of internal prosthetic devices, implants and grafts, not elsewhere classified"
T86,Complications of transplanted organs and tissue
T87,Complications peculiar to reimplantation and transplantation
T88,Other complications of surgical and medical care not elsewhere classified
T90,Sequelae of injuries of head
T91,Sequelae of injuries of neck and trunk
T92,Sequelae of injuries of upper limb
T93,Sequelae of injuries of lower limb
T94,"Sequelae of injury, poisoning and other consequences of external causes"
T95,"Sequelae of burn, corrosion and frostbite"
U07,COVID-19
U08,COVID-19 in personal history
U09,Post-COVID-19 condition
U10,Multisystem inflammatory syndrome associated with COVID-19
U11,COVID-19 in screening
U12,COVID-19 in testing
V01,Pedal cycle rider injured in collision with pedestrian or animal
V03,"Pedal cycle rider injured in collision with car, pick-up truck or van"
V09,Pedal cycle rider injured in other and unspecified transport accidents
V10,Pedestrian injured in collision with pedal cycle
V11,Pedestrian injured in collision with two- or three-wheeled motor vehicle
V13,Pedestrian injured in collision with heavy transport vehicle or bus
V17,Pedestrian injured in collision with fixed or stationary object
V18,Pedal cycle rider injured in noncollision transport accident
V19,Pedestrian injured in other and unspecified transport accidents
V22,Motorcycle rider injured in collision with fixed or stationary object
V23,"Motorcycle rider injured in collision with car, pick-up truck or van"
V27,Motorcycle rider injured in collision with fixed or stationary object
V28,Motorcycle rider injured in noncollision transport accident
V29,Motorcycle rider injured in other and unspecified transport accidents
V43,"Car occupant injured in collision with car, pick-up truck or van"
V44,Car occupant injured in collision with heavy transport vehicle or bus
V47,Car occupant injured in collision with fixed or stationary object
V48,Car occupant injured in noncollision transport accident
V49,Car occupant injured in other and unspecified transport accidents
V58,Occupant of pick-up truck or van injured in noncollision transport accident
V78,Occupant of bus injured in noncollision transport accident
V79,Occupant of bus injured in other and unspecified transport accidents
V80,Rider or occupant of animal-drawn vehicle injured in transport accident
V85,Occupant of special construction vehicle injured in transport accident
V86,Occupant of special all-terrain or other motor vehicle for off-road use injured in transport accident
V89,Occupant of unspecified motor vehicle injured in noncollision transport accident
V91,Accident in water transport injuring occupant of small boat without outboard motor
V98,Other specified transport accidents
W00,Fall on same level involving ice and snow
W01,"Fall on same level from slipping, tripping and stumbling"
W02,"Fall involving ice-skates, skis, roller-skates or skateboards"
W03,"Other fall on same level due to collision with, or pushing by, another person"
W04,Fall while being carried or supported by other persons
W05,Fall involving wheelchair
W06,Fall involving bed
W07,Fall involving chair
W08,Fall involving other furniture
W09,Fall involving playground equipment
W10,Fall on and from stairs and steps
W11,Fall on and from ladder
W12,Fall on and from scaffolding
W13,"Fall from, out of or through building or structure"
W14,Fall from tree
W15,Fall from cliff
W16,Diving or jumping into water causing injury other than drowning or submersion
W17,Other fall from one level to another
W18,"Other slipping, tripping and stumbling and falls"
W19,Unspecified fall
W20,"Struck by thrown, projected or falling object"
W21,Striking against or struck by sports equipment
W22,Striking against or struck by other objects
W23,"Caught, crushed, jammed or pinched in or between objects"
W24,"Contact with lifting and transmission devices, not elsewhere classified"
W25,Contact with sharp glass
W26,"Contact with knife, sword or dagger"
W27,Contact with nonpowered hand tool
W28,Contact with powered lawn mower
W29,Contact with other powered hand tool and household machinery
W30,Contact with agricultural machinery
W31,Contact with other and unspecified machinery
W32,Contact with handgun discharge
W33,"Contact with rifle, shotgun and larger firearm discharge"
W34,Contact with other and unspecified firearm discharge
W36,Contact with bursting of gas cylinder
